thumb href,tagItemTitle href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),genericItemIntroText (2),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),genericItemIntroText (3),genericItemIntroText (4),specialty_codes href (10),specialty_codes (10),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),genericItemIntroText (5),genericItemIntroText (6),genericItemIntroText (7)
https://www.ovations.com.au/speakers/aj-hackett,https://www.ovations.com.au/speakers/aj-hackett,AJ Hackett,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,"AJ Hackett is best known as the founder of Bungy Jumping, establishing the first bungy bridge in New Zealand in the late 80s, the extreme sport craze that has popularised itself at sites from Acapulco to the Victoria Falls in Zimbabwe. Some of AJ's career highlights include his ""unofficial"" Eiffel Tower jump, Auckland SkyCity Casino Tower Jump, television series ""Can U Hackett?"" and the presentati ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/darrell-hair,https://www.ovations.com.au/speakers/darrell-hair,Darrell Hair,,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,"Former International Cricket Council Elite Cricket Umpire Darrell Hair is an Australian icon known for his ethics and upholding the spirit of the game. Darrell umpired 78 Test matches, 139 One Day Internationals, and was a full time umpire for ten years. Darrell specialises in leadership and people development, motivational events, and coaching people to achieve their potential. He is also an acc ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/vanessa-hall,https://www.ovations.com.au/speakers/vanessa-hall,Vanessa Hall,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,"Vanessa Hall is the Founder and Director of Entente Pty Limited, an award winning Author, Speaker and Adviser to business leaders, and individuals alike. She has accepted the challenge to re-establish the trust paradigm as a core value on which any successful business and personal relationship must be built. ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/daryl-halligan,https://www.ovations.com.au/speakers/daryl-halligan,Daryl Halligan,,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,"Since his retirement as a Canterbury Bulldog in 2000, goal-kicking ace Daryl Halligan has been helping other kickers lift their performances. In his 230 games with the Bears and the Bulldogs, Halligan kicked 855 goals, four field goals and 80 tries. His success rate was a staggering 80 per cent. In all senior matches, including 29 appearances for the New Zealand Kiwis, former Kiwi international ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/ken-hames,https://www.ovations.com.au/speakers/ken-hames,Ken Hames,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,"Ken Hames is one of the UK's leading motivational speakers; he provides a fascinating insight into pressure, survival, teamwork and motivation. His main focus is on attitude, leadership and competence training. He is a real life action man who leads from the front; he is passionate about empowering people to transform their lives for the better. He has an impressive 25 year military career, which ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/roger-hamilton,https://www.ovations.com.au/speakers/roger-hamilton,Roger Hamilton,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,"Roger is also the Chairman of XL Results Foundation, consisting of the largest entrepreneur network in Asia Pacific and publisher of XL Magazine, the world's first magazine dedicated to social enterprise. XL Results Foundation also manages Asia Pacific's largest online business network and directory, connecting Asia Pacific with over 1 million entrepreneurs and business professionals world wide, w ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/hamish-and-andy,https://www.ovations.com.au/speakers/hamish-and-andy,Hamish and Andy,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,"Hamish and Andy have become semi regulars on Channel 10's 'Thank God You're Here' and the ABC's 'Spicks and Specks' and have appeared on celebrity specials including 'World's Brainiest Comedian' and 'Joker Poker'. They have presented at the Arias, the Logies and hosted 'Australia's Funniest Man or Woman... In September of 2006 the guys released their own mocumentary style show 'Real Stories' for N ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/carl-hammerschlag,https://www.ovations.com.au/speakers/carl-hammerschlag,Carl Hammerschlag,,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,,,,,,,,,,,"Carl Hammerschlag, M.D. is a master storyteller and internationally recognized author, physician, speaker and healer. A Yale trained psychiatrist; he has spent more than twenty years working with Native Americans. He is an expert on how to survive in rapidly changing cultures. His speech 'The Way It Was, Is Not The Way It Is, and Your Experience Could Be Your Worst Enemy!' is about meeting today's ...",,,,,,,,,,,,,,,,,,,
,https://www.ovations.com.au/speakers/ray-hammond,Ray Hammond,,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,,,,,,,,,,,"Ray Hammond is a world-renowned futurologist, technology analyst and commentator on the digital age. He is a best-selling author whose titles have been published in 44 countries and in 23 languages. Ray Hammond is also a regular contributor to 'MIT Technology Review,' 'Computing', 'Business and Technology' and 'New Media Investor'. Today, Ray provides keynote lectures, workshops and seminars on ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/john-hanrahan,https://www.ovations.com.au/speakers/john-hanrahan,John Hanrahan,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,,,,,,,"John Hanrahan is one of Australia's most experienced business journalists. His journalism experience in newspapers, radio and television includes seven years as a reporter/producer on The Small Business Show. In early 2003 he produced, wrote and directed a business documentary, Breaking Through, for SkyNews, which followed three Australian IT companies to the world's biggest trade show, CeBIT, i ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/mark-victor-hansen,https://www.ovations.com.au/speakers/mark-victor-hansen,Mark Victor Hansen,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,"In the area of human potential, no one is better known and more respected than Mark Victor Hansen. For more than 25 years, Mark Victor Hansen has focused solely on helping people and organizations, from all walks of life, reshape their personal vision of what's possible. His powerful messages of possibility, opportunity, and action have helped create startling and powerful change in thousands of o ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/oren-harari,https://www.ovations.com.au/speakers/oren-harari,Oren Harari,,https://www.ovations.com.au/speakers/change,CHANGE,,,,,,,,,,,"An energetic and charismatic presenter, Oren Harari is changing the way people do business with his provocative ideas on competitive advantage, organisational change, and transformational leadership. One of today's most-requested speakers, he leads power-packed presentations that teach organizations how to gain competitive advantage in today's chaotic marketplace. A professor of management at the ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/miranda-harcourt,https://www.ovations.com.au/speakers/miranda-harcourt,Miranda Harcourt,,https://www.ovations.com.au/speakers/communication,COMMUNICATION,,,,,,,,,,,"Miranda is one of New Zealand's most adventurous and best-loved actresses. Not only has she toured all over New Zealand with shows like ""Flowers From My Mother's Garden"" and ""Verbatim"", she has toured prisons and theatres all over the world as well as every prison from Invercargill to Paremoremo Maximum. In her speaking engagements she uses experiences from her work in prisons to shed both humou ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/verne-harnish,https://www.ovations.com.au/speakers/verne-harnish,Verne Harnish,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,"Vern Harnish ""Growth Guy"" syndicated coloumnist, author of Mastering the Rockefeller Habits: What You Must Do to Increase theValue of Your Fast Growth Firm. Named as one of the Top Ten Minds in Small Business by Fortune Small Business. Verne is the founder of the world-renowned Young Entrepreneurs Organisation (YEO) and the chair's YEO's premiere CEO Programme. Verne is a contrbuting editor an ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/leigh-hatcher,https://www.ovations.com.au/speakers/leigh-hatcher,Leigh Hatcher,Leigh Hatcher is one of Australia’s most respected and experienced broadcast journalists. He’s had a career of 40+ years in radio and television . He’s a ‘survivor’ and a ‘veteran’ – no mean feat in the churn and burn of media and journalism!,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Current%20Affairs,CURRENT AFFAIRS,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,"Leigh has a deep and intimate knowledge of Australian politics – having worked in the Canberra press gallery between 1975-1977 and 1981-1983. He worked at the Seven Network in a range of capacities, including Canberra correspondent, Chief Olympic correspondent and European correspondent He was also a senior presenter at Sky News for 13 years, as it led the whole emergence of ‘the 24-hour news cycle’.",,,,,,,,,,,,
